window_id,scenario,column_checked,method,score,detected_drift,ground_truth_drift,drift_metadata
2,concept_education,education,KL,0.0013857736584173743,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
2,concept_education,multi_feature,Classifier_RF,0.507978873004238,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
2,concept_education,multi_feature,Classifier_LR,0.4900835921693535,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
3,no_drift,age,KS,0.01949472846628208,False,False,
3,no_drift,age,PSI,0.007915027797306264,False,False,
3,no_drift,age,KL,0.004004640624319841,False,False,
3,no_drift,education,PSI,0.005352307145889501,False,False,
3,no_drift,education,KL,0.002661924457129158,False,False,
3,no_drift,multi_feature,Classifier_RF,0.5151260869794495,False,False,
3,no_drift,multi_feature,Classifier_LR,0.507730364057916,False,False,
3,covariate_age,age,KS,0.5396856972349313,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
3,covariate_age,age,PSI,3.7508731897118817,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
3,covariate_age,age,KL,2.819522052491621,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
3,covariate_age,education,PSI,0.005352307145889501,False,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
3,covariate_age,education,KL,0.002661924457129158,False,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
3,covariate_age,multi_feature,Classifier_RF,0.9056975564825019,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
3,covariate_age,multi_feature,Classifier_LR,0.863800398317434,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
3,label_income,age,KS,0.1096081161726676,True,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
3,label_income,age,PSI,0.08422009914158847,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
3,label_income,age,KL,0.04387695892115837,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
3,label_income,education,PSI,0.10041463488165202,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
3,label_income,education,KL,0.04864775697616415,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
3,label_income,multi_feature,Classifier_RF,0.6190797302831992,True,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
3,label_income,multi_feature,Classifier_LR,0.5916604704223817,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
3,concept_education,age,KS,0.01949472846628208,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
3,concept_education,age,PSI,0.007915027797306264,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
3,concept_education,age,KL,0.004004640624319841,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
3,concept_education,education,PSI,0.005352307145889501,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
3,concept_education,education,KL,0.002661924457129158,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
3,concept_education,multi_feature,Classifier_RF,0.5151260869794495,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
3,concept_education,multi_feature,Classifier_LR,0.507730364057916,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
4,no_drift,age,KS,0.016311915655460512,False,False,
4,no_drift,age,PSI,0.004150523057277749,False,False,
4,no_drift,age,KL,0.002085384323552675,False,False,
4,no_drift,education,PSI,0.002727562393412701,False,False,
4,no_drift,education,KL,0.0013729384827132728,False,False,
4,no_drift,multi_feature,Classifier_RF,0.5166241718565706,False,False,
4,no_drift,multi_feature,Classifier_LR,0.4959605760661495,False,False,
4,covariate_age,age,KS,0.5400835488362841,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
4,covariate_age,age,PSI,3.773278936305404,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
4,covariate_age,age,KL,2.8310219706004256,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
4,covariate_age,education,PSI,0.002727562393412701,False,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
4,covariate_age,education,KL,0.0013729384827132728,False,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
4,covariate_age,multi_feature,Classifier_RF,0.906576456381077,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
4,covariate_age,multi_feature,Classifier_LR,0.867579228431357,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
4,label_income,age,KS,0.10642530336184604,True,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
4,label_income,age,PSI,0.0653949314892482,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
4,label_income,age,KL,0.03436273687545376,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
4,label_income,education,PSI,0.08692496299136271,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
4,label_income,education,KL,0.04245858116872332,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
4,label_income,multi_feature,Classifier_RF,0.6165458618756076,True,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
4,label_income,multi_feature,Classifier_LR,0.5929353147252646,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
4,concept_education,age,KS,0.016311915655460512,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
4,concept_education,age,PSI,0.004150523057277749,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
4,concept_education,age,KL,0.002085384323552675,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
4,concept_education,education,PSI,0.002727562393412701,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
4,concept_education,education,KL,0.0013729384827132728,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
4,concept_education,multi_feature,Classifier_RF,0.5166241718565706,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
4,concept_education,multi_feature,Classifier_LR,0.4959605760661495,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
5,no_drift,age,KS,0.01909687686492938,False,False,
5,no_drift,age,PSI,0.004969686060586274,False,False,
5,no_drift,age,KL,0.0024866071812019346,False,False,
5,no_drift,education,PSI,0.003910701453812056,False,False,
5,no_drift,education,KL,0.001920832009469018,False,False,
5,no_drift,multi_feature,Classifier_RF,0.5215829250843305,False,False,
5,no_drift,multi_feature,Classifier_LR,0.4964655040578808,False,False,
5,covariate_age,age,KS,0.5418738810423712,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
5,covariate_age,age,PSI,3.7710735060459077,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
5,covariate_age,age,KL,2.8214230910719715,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
5,covariate_age,education,PSI,0.003910701453812056,False,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
5,covariate_age,education,KL,0.001920832009469018,False,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
5,covariate_age,multi_feature,Classifier_RF,0.9115385054834566,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
5,covariate_age,multi_feature,Classifier_LR,0.8660103921124005,True,True,"{'drift_type': 'covariate', 'column': 'age', 'shift_std': 1.5}"
5,label_income,age,KS,0.12194151581460115,True,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
5,label_income,age,PSI,0.08220878607050609,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
5,label_income,age,KL,0.04236469511574513,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
5,label_income,education,PSI,0.10028669421731692,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
5,label_income,education,KL,0.04824192268622002,False,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
5,label_income,multi_feature,Classifier_RF,0.6267327511500405,True,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
5,label_income,multi_feature,Classifier_LR,0.6096271618740255,True,True,"{'drift_type': 'label', 'target_col': 'income', 'new_positive_rate': 0.6}"
5,concept_education,age,KS,0.01909687686492938,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
5,concept_education,age,PSI,0.004969686060586274,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
5,concept_education,age,KL,0.0024866071812019346,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
5,concept_education,education,PSI,0.003910701453812056,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
5,concept_education,education,KL,0.001920832009469018,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
5,concept_education,multi_feature,Classifier_RF,0.5215829250843305,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
5,concept_education,multi_feature,Classifier_LR,0.4964655040578808,False,True,"{'drift_type': 'concept', 'condition_col': 'education', 'condition_value': 'Bachelors', 'flip_fraction': 0.5}"
