Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8399602385685885,0.7128712871287128,0.582995951417004,0.6414253897550112,0.8938887199756764
Random Forest,0.8339960238568589,0.6851851851851852,0.5991902834008097,0.6393088552915767,0.8868903788812256
